homo_node_label,x,y,z,fine_query_x,fine_query_y,fine_query_z,homo_u1,homo_u2,homo_u3,fine_u1,fine_u2,fine_u3,homo_umag,fine_umag,absolute_vector_error,mls_condition_number,mls_support_radius_normalized,pointwise_error_over_fine_peak
33,-2.5,-0.5,0.0,-0.5,1.5,-4.0,-3.428716700688463e-39,-3.339658578086763e-40,-2.1553710794008375e-38,-0.0013370073418676155,-8.370992276663084e-05,-0.0008121638644084333,2.1827278355294666e-38,0.0015665906057513372,0.0015665906057513372,46.41365134173432,0.11090535496027926,0.004452172150456052
34,-2.5,0.5,0.0,-0.5,2.5,-4.0,-3.428716700688463e-39,3.339658578086763e-40,-2.1553710794008375e-38,-0.0014789748423668073,9.845600465624103e-05,-0.0008550818678436692,2.1827278355294666e-38,0.0017112057649277047,0.0017112057649277047,46.08613259398994,0.11090535227309486,0.004863161200087178
35,-2.5,1.5,0.0,-0.5,3.5,-4.0,-3.3995724952274354e-39,1.9163849512444047e-39,-2.2366057526762118e-38,-0.0013609913895622878,0.00014302752217235765,-0.0007372390371899598,2.2703967796887294e-38,0.0015544374649751047,0.0015544374649751047,46.86546872655961,0.11090535227309482,0.004417633532194287
36,-2.5,2.5,0.0,-0.5,4.5,-4.0,-1.6957463041410693e-39,1.6957463041410693e-39,-1.2560823248563756e-38,-0.001718519950239266,0.0017060931526510527,-0.0019124522344593324,1.2787704709512022e-38,0.0030856989830477096,0.0030856989830477096,37.94030898748786,0.14071246271321985,0.008769402182407954
37,-1.5,-2.5,5.0,0.5,-0.5,1.0,-0.0293057337403297,-0.0571786500513553,-0.3407951891422272,-0.03320567522112242,-0.05388622351095443,-0.34119327519440273,0.34679905564208335,0.34701468699328364,0.0051193836135301,46.80355614480923,0.11090535979721187,0.014549032190020413
38,-1.5,-1.5,5.0,0.5,0.5,1.0,-0.0295514669269323,-0.0295514669269323,-0.3399828374385834,-0.03314098528451638,-0.03314097104737721,-0.3391152481747035,0.3425418341573148,0.34233872175402885,0.00514994106771366,59.45454277262224,0.08774964441732766,0.014635874946516858
39,-1.5,-0.5,5.0,0.5,1.5,1.0,-0.0294067431241273,-0.0150235267356038,-0.3383266925811767,-0.03298903767534506,-0.011261623559248026,-0.3373535909267044,0.3399344257495287,0.33914973991303277,0.005285042723564004,60.12377914313225,0.0866025348724028,0.015019827095501514
40,-1.5,0.5,5.0,0.5,2.5,1.0,-0.0294067431241273,0.0150235267356038,-0.3383266925811767,-0.032985272547309145,0.0112542241084545,-0.3373469643884283,0.3399344257495287,0.3391425366234544,0.005288986902921845,60.002567512658224,0.0866025348724028,0.01503103625597325
41,-1.5,1.5,5.0,0.5,3.5,1.0,-0.0295514669269323,0.0295514669269323,-0.3399828374385834,-0.03314132549556659,0.033140588365358846,-0.3391147237215306,0.3425418341573148,0.34233819812801386,0.0051499998707092405,60.02493385055365,0.08660253487240274,0.01463604206168934
42,-1.5,2.5,5.0,0.5,4.5,1.0,-0.0293057337403297,0.0571786500513553,-0.3407951891422272,-0.033205675704837095,0.05388622746382268,-0.34119327559240303,0.34679905564208335,0.34701468804471536,0.005119381470767189,46.803595857057346,0.11090535603515297,0.014549026100395388
43,-1.5,-2.5,4.0,0.5,-0.5,0.0,-0.035956036299467,-0.0497212037444114,-0.2721919119358063,-0.031782447579755777,-0.052442933178130056,-0.2722548167119586,0.27902234959126765,0.2790753848646418,0.004983032301975776,60.23915247982154,0.0866025348724028,0.014161528582025028
44,-1.5,-1.5,4.0,0.5,0.5,0.0,-0.0357649214565753,-0.0357649214565753,-0.2704885900020599,-0.03179306488024117,-0.031793064880241174,-0.26997879703589694,0.27517691860854254,0.27369718449028385,0.005640139909105667,42.06507806958444,0.07141428378464938,0.0160289955370649
45,-1.5,-0.5,4.0,0.5,1.5,0.0,-0.0356823317706584,-0.0069878129288554,-0.2687177062034607,-0.03182017926293918,-0.010653705581578016,-0.26798364582633755,0.271166487526334,0.27007639600920413,0.005375298649510528,42.05086014552083,0.07071067474690693,0.015276329923003163
46,-1.5,0.5,4.0,0.5,2.5,0.0,-0.0356823317706584,0.0069878129288554,-0.2687177062034607,-0.03181941720949046,0.010652831172980819,-0.2679786750806395,0.271166487526334,0.27007133950407736,0.005375931048400251,47.4293870489779,0.06782331072865405,0.015278127169019108
47,-1.5,1.5,4.0,0.5,3.5,0.0,-0.0357649214565753,0.0357649214565753,-0.2704885900020599,-0.031793085192425255,0.031792970555094884,-0.2699790144053729,0.27517691860854254,0.2736973903091999,0.005640172387589523,42.06508616023775,0.07141426625737823,0.016029087839291647
48,-1.5,2.5,4.0,0.5,4.5,0.0,-0.035956036299467,0.0497212037444114,-0.2721919119358063,-0.03178214028889295,0.05244286964329603,-0.272254517236863,0.27902234959126765,0.2790750457737917,0.004983251207390394,59.938663666826045,0.08660252523683128,0.014162150700265089
49,-1.5,-2.5,3.0,0.5,-0.5,-1.0,-0.0279148053377866,-0.0552892759442329,-0.2043505907058715,-0.030627841459698008,-0.05113421587032876,-0.20424769767357062,0.213530569973769,0.21276723128834496,0.004963433911380754,59.21324806598506,0.08660253969018879,0.014105830936143211
50,-1.5,-1.5,3.0,0.5,0.5,-1.0,-0.0280065946280956,-0.0280065946280956,-0.201500803232193,-0.030690553055080606,-0.03069058585195919,-0.20096631476682586,0.20535654941721218,0.205599809770637,0.0038331605297940658,47.42938469026073,0.06782330018278196,0.010893650514897414
51,-1.5,-0.5,3.0,0.5,1.5,-1.0,-0.0284954402595758,-0.0146128153428435,-0.1990714967250824,-0.030983139496929754,-0.010166142434561315,-0.19856106648416436,0.20163081435186336,0.20122078050841255,0.005120750577759655,47.70227226878387,0.06782328963691125,0.014552917033993784
52,-1.5,0.5,3.0,0.5,2.5,-1.0,-0.0284954402595758,0.0146128153428435,-0.1990714967250824,-0.030984262179368373,0.010166402818835777,-0.1985583488486704,0.20163081435186336,0.20121828482169546,0.005121341584502918,48.60870211081827,0.06708203932499392,0.014554596645599667
53,-1.5,1.5,3.0,0.5,3.5,-1.0,-0.0280065946280956,0.0280065946280956,-0.201500803232193,-0.030690552967317465,0.03069059032411464,-0.2009663157047338,0.20535654941721218,0.2055998113418811,0.0038331634689818253,47.429389614526485,0.06782328963691135,0.010893658867922026
54,-1.5,2.5,3.0,0.5,4.5,-1.0,-0.0279148053377866,0.0552892759442329,-0.2043505907058715,-0.030627840354120157,0.05113422047359976,-0.20424769908124016,0.213530569973769,0.21276723358680258,0.004963429424330488,59.2133399903588,0.08660252523683135,0.014105818184170772
55,-1.5,-2.5,2.0,0.5,-0.5,-2.0,-0.0336185507476329,-0.0460010655224323,-0.1379690021276474,-0.02747060087330902,-0.047855329334025754,-0.13743894371361037,0.14927072898485172,0.14810209217672002,0.006443333288172785,59.2525893316158,0.08660253969018879,0.018311630949651384
56,-1.5,-1.5,2.0,0.5,0.5,-2.0,-0.0332808531820774,-0.0332808531820774,-0.1353585422039032,-0.027614761178383684,-0.027614494870632535,-0.13186285859128555,0.1433079388052868,0.13752435725268716,0.008742540764990791,41.93696505566548,0.07000000817435385,0.024845863606753296
57,-1.5,-0.5,2.0,0.5,1.5,-2.0,-0.0342323519289493,-0.0058883870951831,-0.1295800358057022,-0.02820531368252155,-0.008845885448105264,-0.129138892123733,0.13415480871208912,0.13247883932249552,0.0067280453535615795,41.96227710964187,0.06999998773847316,0.019120768399964943
58,-1.5,0.5,2.0,0.5,2.5,-2.0,-0.0342323519289493,0.0058883870951831,-0.1295800358057022,-0.02821187446118411,0.008851293661121237,-0.1291429703818424,0.13415480871208912,0.13248457290995974,0.006724283637911287,47.70659339468346,0.06782330018278508,0.019110077792224366
59,-1.5,1.5,2.0,0.5,3.5,-2.0,-0.0332808531820774,0.0332808531820774,-0.1353585422039032,-0.027614493917226948,0.027614765001465372,-0.131862858585156,0.1433079388052868,0.1375243578230401,0.008742538907617475,41.9369705247611,0.06999999795641584,0.02484585832819123
60,-1.5,2.5,2.0,0.5,4.5,-2.0,-0.0336185507476329,0.0460010655224323,-0.1379690021276474,-0.027470599885277492,0.04785533294523507,-0.13743894641597482,0.14927072898485172,0.14810209566812182,0.006443335047836713,59.25268135923269,0.08660252523683135,0.01831163595052826
61,-1.5,-2.5,1.0,0.5,-0.5,-3.0,-0.0157406497746706,-0.0455359481275081,-0.0722718313336372,-0.018398471101248964,-0.03820119206564935,-0.07131097370184017,0.08685912865967313,0.08296438865202746,0.007860401267083702,58.755940381487115,0.08774963626623221,0.02233886727281599
62,-1.5,-1.5,1.0,0.5,0.5,-3.0,-0.0152230458334088,-0.0152230458334088,-0.0539122112095356,-0.018535159684965136,-0.018535159684965132,-0.06297493948526771,0.05805177659980533,0.06821251565708043,0.010201629288064578,41.93720068909458,0.071414282950018,0.028992520214823295
63,-1.5,-0.5,1.0,0.5,1.5,-3.0,-0.0163225810974836,-0.0064689461141824,-0.0568979829549789,-0.019158649556692744,-0.005488715406550072,-0.06109488968651857,0.059545397654707066,0.06426325073833518,0.005159279277064704,42.050862651055,0.07071067474690698,0.014662413670453548
64,-1.5,0.5,1.0,0.5,2.5,-3.0,-0.0163225810974836,0.0064689461141824,-0.0568979829549789,-0.019175632832383813,0.00550714520044204,-0.0610977983664313,0.059545397654707066,0.06427265754585104,0.0051675346820279746,47.429391913678806,0.06782330018278505,0.014685875118475305
65,-1.5,1.5,1.0,0.5,3.5,-3.0,-0.0152230458334088,0.0152230458334088,-0.0539122112095356,-0.018534823927427425,0.018536519264005496,-0.06297553279740693,0.05805177659980533,0.0682133416243689,0.01020248883971291,42.06509203789611,0.07141426458811445,0.028994963017618443
66,-1.5,2.5,1.0,0.5,4.5,-3.0,-0.0157406497746706,0.0455359481275081,-0.0722718313336372,-0.018398469738461428,0.038201194024468525,-0.07131097448140546,0.08685912865967313,0.08296438992182026,0.007860398883165004,58.756032340320694,0.08774961996404632,0.02233886049783828
67,-1.5,-2.5,0.0,0.5,-0.5,-4.0,-1.9163849512444047e-39,-3.3995724952274354e-39,-2.2366057526762118e-38,-0.00014881416375325126,-0.0014023287361067537,-0.0007651883333719138,2.2703967796887294e-38,0.0016044266031741158,0.0016044266031741158,46.80355387526466,0.11090535227309485,0.00455970016281103
68,-1.5,-1.5,0.0,0.5,0.5,-4.0,-3.859849995311887e-39,-3.859849995311887e-39,-3.90942709420062e-38,2.6584383678744654e-05,2.6664594224402666e-05,0.00022778900935567013,3.947352156141644e-38,0.00023087997493062996,0.00023087997493062996,59.45450741712897,0.08774964985139169,0.0006561493415768013
69,-1.5,-0.5,0.0,0.5,1.5,-4.0,-3.933182746546933e-39,-6.811739861052222e-40,-3.738778368513608e-38,3.535262136530051e-05,2.0759956617385562e-05,0.0002386516097365939,3.7600269858122143e-38,0.00024214742300099243,0.00024214742300099243,59.66165882005261,0.08660252523683123,0.0006881708654653086
70,-1.5,0.5,0.0,0.5,2.5,-4.0,-3.933182746546933e-39,6.811739861052222e-40,-3.738778368513608e-38,4.730970191015985e-05,0.00010572375141996994,0.0002378549059173914,3.7600269858122143e-38,0.00026455750939655994,0.00026455750939655994,59.56917498661938,0.08660252523683123,0.0007518592101887906
71,-1.5,1.5,0.0,0.5,3.5,-4.0,-3.859849995311887e-39,3.859849995311887e-39,-3.90942709420062e-38,2.6298856443910824e-05,-3.1232280758773525e-05,0.00023176623066525865,3.947352156141644e-38,0.00023533523086957076,0.00023533523086957076,60.0249047938982,0.08660252523683117,0.0006688109561311622
72,-1.5,2.5,0.0,0.5,4.5,-4.0,-1.9163849512444047e-39,3.3995724952274354e-39,-2.2366057526762118e-38,-0.00014881352902698422,0.0014023244859346978,-0.0007651819688137265,2.2703967796887294e-38,0.0016044197940910385,0.0016044197940910385,46.803593587709535,0.1109053485110357,0.004559680811737472
73,-0.5,-2.5,5.0,1.5,-0.5,1.0,-0.0151511682197451,-0.0568632408976554,-0.3391120433807373,-0.011271792388177188,-0.05347444598395492,-0.33928269005688755,0.34418013311297746,0.34365580665714224,0.00515389251903419,46.615134994983684,0.11090535603515297,0.01464710477354286
74,-0.5,-1.5,5.0,1.5,0.5,1.0,-0.0150235267356038,-0.0294067431241273,-0.3383266925811767,-0.011261623559248026,-0.03298903767534506,-0.3373535909267044,0.3399344257495287,0.33914973991303277,0.005285042723564004,60.12377914313225,0.0866025348724028,0.015019827095501514
75,-0.5,-0.5,5.0,1.5,1.5,1.0,-0.0148978484794497,-0.0148978484794497,-0.3367349505424499,-0.011217874712603843,-0.011217874712603843,-0.33564658519451773,0.33739341827525243,0.3360212963174745,0.005316855553795578,60.14822687094169,0.08602324685015106,0.015110237567940336
76,-0.5,0.5,5.0,1.5,2.5,1.0,-0.0148978484794497,0.0148978484794497,-0.3367349505424499,-0.011218727835970154,0.011212728191440506,-0.3356455788667345,0.33739341827525243,0.33602014781935025,0.005320034858365616,60.04196053335699,0.08602324685015106,0.015119272992519403
77,-0.5,1.5,5.0,1.5,3.5,1.0,-0.0150235267356038,0.0294067431241273,-0.3383266925811767,-0.011261094468473136,0.03298754585863967,-0.3373508083256339,0.3399344257495287,0.33914680937370223,0.00528492146284631,60.86297562816977,0.08602324962171153,0.01501948247860653
